### METADATA ###
## USER ##
# id=nefarious1985#2344
# printer=voron_v2_350
# measure_type=nozzle_pin
# measure_gcode="G28 Z"
# notes=
# timestamp=2021-06-24_02-45-50
## SCRIPT ##
# data_structure=3
# hot_duration=3
# cool_duration=0
## Z_AXIS ##
# step_dist=0.0025
# max_z=330.0
# homing_speed=3.0
## FRAME_EXPANSION_COMPENSATION ##
# pullup_resistor=4700.0
# sensor_pin=P0.23
# z_stepper=stepper_z
# coeff=23.4
# gantry_factor=0.19
# frame_z_length=530.0
# max_z_offset=99999999.0
# sensor_type=NTC 100K beta 3950
# inline_resistor=0.0
# smooth_time=2.0
# min_temp=0.0
# gcode_id=frame
# max_comp_z=0.0
# max_temp=100.0
### METADATA END ###
sample,time,mcu_pos_z,frame_t,chamber_t,bed_t,bed_target,he_t,he_target
0,2021/06/24-02:46:15,-3499,21.3423247088153,22.39954955891244,22.539820798899676,105.0,25.733268307088778,100.0
0,2021/06/24-02:46:22,-3492,21.336171721792557,22.130665696948085,22.58269728714226,105.0,41.858467853534876,100.0
0,2021/06/24-02:46:29,-3479,21.325189876537735,21.876057495570876,22.884765869136153,105.0,60.416056083247014,100.0
1,2021/06/24-02:47:14,-3454,21.360820003252215,22.43296734129939,26.764244309644237,105.0,100.88732413418002,100.0
1,2021/06/24-02:47:21,-3454,21.363362269677506,22.315818757668467,27.400638141099044,105.0,100.9455974471311,100.0
1,2021/06/24-02:47:28,-3453,21.37187567976001,22.43296734129939,28.090122564479636,105.0,100.14967586286785,100.0
2,2021/06/24-02:48:14,-3450,21.442473746739616,22.73183365726038,32.472601810789065,105.0,99.68874215368872,100.0
2,2021/06/24-02:48:21,-3449,21.419668652007786,22.48301453859591,33.12063569601137,105.0,100.29385603804994,100.0
2,2021/06/24-02:48:28,-3449,21.437749623970277,22.382824726247406,33.87702594825404,105.0,99.97415892257827,100.0
3,2021/06/24-02:49:15,-3445,21.49409374055275,22.978328305057346,39.21067416864093,105.0,99.71073681311744,100.0
3,2021/06/24-02:49:21,-3445,21.511337923176463,22.81425435560368,40.11943277232689,105.0,100.25697502578343,100.0
3,2021/06/24-02:49:28,-3445,21.543480952994262,22.83070766612167,41.2102410796241,105.0,99.96901804528216,100.0
4,2021/06/24-02:50:15,-3444,21.64815091531184,23.125129849211305,46.44597792718006,105.0,99.71847987012697,100.0
4,2021/06/24-02:50:22,-3444,21.665292535887687,23.335751379158467,47.17813423028111,105.0,100.24257998297985,100.0
4,2021/06/24-02:50:29,-3444,21.662273318028255,23.384119941694223,48.03035625330037,105.0,99.96232951955128,100.0
5,2021/06/24-02:51:15,-3443,21.78443454732149,23.512674170623995,53.65375330495474,105.0,99.69376685050612,100.0
5,2021/06/24-02:51:22,-3443,21.802373020252574,23.464539122298618,54.24359268563396,105.0,100.25510620182821,100.0
5,2021/06/24-02:51:29,-3444,21.81042401853623,23.656559334106078,54.862568019760616,105.0,99.97839068012415,100.0
6,2021/06/24-02:52:15,-3444,21.89704511749733,24.02077846635251,58.387293217788844,105.0,99.71398010090836,100.0
6,2021/06/24-02:52:22,-3444,21.89336297232445,24.208855082531613,58.88108758655814,105.0,100.26341156905498,100.0
6,2021/06/24-02:52:29,-3445,21.94541450799013,24.083617495904036,59.37471372966914,105.0,99.89656118248115,100.0
7,2021/06/24-02:53:15,-3445,22.07411579832148,24.53485029746787,62.81351673219986,105.0,99.68385508991153,100.0
7,2021/06/24-02:53:22,-3445,22.12094150494813,24.611889242842665,63.47165716365136,105.0,100.23283097060497,100.0
7,2021/06/24-02:53:29,-3445,22.092018729232294,24.565692326468707,64.11754105235693,105.0,100.0599742529367,100.0
8,2021/06/24-02:54:15,-3447,22.287680235042956,24.902646197068634,68.04772174903692,105.0,99.67409098106542,100.0
8,2021/06/24-02:54:22,-3447,22.323620927096265,25.05442854161521,68.53644860084108,105.0,100.1715632980961,100.0
8,2021/06/24-02:54:29,-3447,22.318117055189287,24.96346136027637,69.0311719920767,105.0,100.19712349767437,100.0
9,2021/06/24-02:55:16,-3448,22.483713630381487,25.43020657389269,73.22275613602322,105.0,99.71073085071208,100.0
9,2021/06/24-02:55:22,-3448,22.533447462584544,25.564224396899704,74.02105479777043,105.0,100.08632825846665,100.0
9,2021/06/24-02:55:29,-3449,22.5861558960975,25.57907462388971,74.67616656256756,105.0,100.17674516640153,100.0
10,2021/06/24-02:56:16,-3448,22.806455151872967,25.991632866237865,79.63757968150955,105.0,99.7265663303091,100.0
10,2021/06/24-02:56:23,-3449,22.84649525001772,26.137479471904385,80.52904810075734,105.0,100.07343112827857,100.0
10,2021/06/24-02:56:30,-3449,22.879699420073642,26.152021532010906,81.43904835591984,105.0,100.21860067853895,100.0
11,2021/06/24-02:57:16,-3451,23.116818584303683,26.39806498528469,85.13087604209328,105.0,99.74313067278693,100.0
11,2021/06/24-02:57:23,-3452,23.118708088281288,26.51309246525716,85.7376549544851,105.0,99.93175741249695,100.0
11,2021/06/24-02:57:30,-3452,23.14026853612321,26.684737994595537,86.31024848169284,105.0,100.30606918507421,100.0
12,2021/06/24-02:58:16,-3454,23.439068053849518,27.137312689257612,89.97323521775905,105.0,99.76393690712024,100.0
12,2021/06/24-02:58:23,-3455,23.46489413779513,27.165354547004654,90.61993736474119,105.0,100.13832137628894,100.0
12,2021/06/24-02:58:30,-3456,23.509029517804624,27.26327856406067,91.16399011972229,105.0,100.08081149266141,100.0
13,2021/06/24-02:59:16,-3458,23.808900014116006,27.65156316556852,94.27798043846872,105.0,99.71184482192535,100.0
13,2021/06/24-02:59:23,-3457,23.90009757837208,27.720334150610597,94.93065078587173,105.0,100.2928728054029,100.0
13,2021/06/24-02:59:30,-3458,23.931886714617153,27.830016842903092,95.59991472151403,105.0,100.01957803252057,100.0
14,2021/06/24-03:00:16,-3461,24.234257143124168,28.439109822146918,99.53654104666144,105.0,99.72032414332732,100.0
14,2021/06/24-03:00:23,-3461,24.30804419361106,28.291435465247957,99.96586643613804,105.0,100.2560247936917,100.0
14,2021/06/24-03:00:30,-3462,24.332252174307122,28.67910236506026,100.38230843197796,105.0,99.88875592858038,100.0
15,2021/06/24-03:01:16,-3465,24.69235203378131,29.25732273007077,102.64515581571139,105.0,99.73461212138561,100.0
15,2021/06/24-03:01:23,-3465,24.73635736164232,29.08770786446115,102.87934690024557,105.0,100.29454295853155,100.0
15,2021/06/24-03:01:30,-3467,24.768358419077426,29.296321414596605,103.07091800878553,105.0,99.95221350436836,100.0
16,2021/06/24-03:02:17,-3469,25.168486688384547,29.900444748644077,104.36265502963919,105.0,99.69023401994215,100.0
16,2021/06/24-03:02:24,-3470,25.243399132167436,29.824029234094496,104.5065109125197,105.0,100.21177359405554,100.0
16,2021/06/24-03:02:31,-3471,25.266099876175865,30.052668067820434,104.6103906886457,105.0,100.04214577001763,100.0
17,2021/06/24-03:03:17,-3475,25.624888633146405,30.764944949317965,105.0305812341117,105.0,99.69104001911106,100.0
17,2021/06/24-03:03:24,-3476,25.674628863686443,30.924967753120086,105.00290863963666,105.0,100.07539568926835,100.0
17,2021/06/24-03:03:31,-3477,25.741838042810087,30.94950858612856,104.97404332130071,105.0,100.29164861974648,100.0
18,2021/06/24-03:04:17,-3481,26.124925773439898,31.37565906885027,105.09336740332795,105.0,99.84983343900556,100.0
18,2021/06/24-03:04:24,-3482,26.188442495899793,31.61641090979748,105.13358756091803,105.0,99.91808468779229,100.0
18,2021/06/24-03:04:31,-3482,26.22247226540326,31.688252417367664,105.15054594652518,105.0,100.27923293973525,100.0
19,2021/06/24-03:05:17,-3487,26.602436501478806,32.362139037546115,105.25863827882159,105.0,99.78617422011611,100.0
19,2021/06/24-03:05:24,-3488,26.67589240541152,32.11565293191313,105.34103694697804,105.0,99.83551835717336,100.0
19,2021/06/24-03:05:31,-3489,26.716536391334245,32.291923850882995,105.34856385716502,105.0,100.26329962525111,100.0
20,2021/06/24-03:06:17,-3492,27.09286630664847,32.91795817027497,105.32418524626533,105.0,100.01044019120381,100.0
20,2021/06/24-03:06:24,-3492,27.169737738368195,32.91795817027497,105.33336870503244,105.0,99.75408962621933,100.0
20,2021/06/24-03:06:31,-3493,27.188353905229956,33.11234934081443,105.38863007596532,105.0,100.28700262356584,100.0
21,2021/06/24-03:07:17,-3496,27.56281657194542,33.58726809411917,105.39970733461894,105.0,99.97241358272538,100.0
