### METADATA ###
## USER ##
# id=nefarious1985#2344
# printer=voron_v2_350
# measure_type=nozzle_pin
# measure_gcode="G28 Z"
# notes=
# timestamp=2021-06-29_23-07-48
## SCRIPT ##
# data_structure=3
# hot_duration=3
# cool_duration=0
## Z_AXIS ##
# step_dist=0.0025
# max_z=330.0
# homing_speed=3.0
## FRAME_EXPANSION_COMPENSATION ##
# pullup_resistor=4700.0
# sensor_pin=P0.23
# z_stepper=stepper_z
# coeff=23.4
# gantry_factor=2.0
# frame_z_length=530.0
# max_z_offset=99999999.0
# sensor_type=100k3950
# inline_resistor=0.0
# smooth_time=2.0
# min_temp=0.0
# gcode_id=frame
# max_comp_z=0.0
# max_temp=100.0
### METADATA END ###
sample,time,mcu_pos_z,frame_t,chamber_t,bed_t,bed_target,he_t,he_target
0,2021/06/29-23:08:10,-2862,24.409459947071674,24.933070875148815,25.673809574595932,105.0,28.14485164344206,100.0
0,2021/06/29-23:08:16,-2858,24.413254414279844,24.81116611444139,25.759457195218122,105.0,43.154405242138694,100.0
0,2021/06/29-23:08:23,-2855,24.43345402576793,25.771394995801415,26.039503707523714,105.0,61.71231639074758,100.0
1,2021/06/29-23:09:09,-2847,24.47231908969417,25.05442854161521,30.29961040702337,105.0,100.8526348618249,100.0
1,2021/06/29-23:09:16,-2848,24.427976334446946,25.265504907304546,31.202476086069098,105.0,100.85490110457667,100.0
1,2021/06/29-23:09:22,-2848,24.463969103192227,25.0392885591221,31.93785634869295,105.0,100.2311152073838,100.0
2,2021/06/29-23:10:09,-2844,24.530729766192483,25.668006433620178,37.66294410899172,105.0,99.73697929226198,100.0
2,2021/06/29-23:10:16,-2844,24.492232525653677,25.385386849346673,38.44422004714357,105.0,100.2938913416512,100.0
2,2021/06/29-23:10:22,-2845,24.524655021984568,25.682800237863148,39.18029725293889,105.0,100.00101836559027,100.0
3,2021/06/29-23:11:09,-2842,24.59760764791492,25.8450049710342,43.63479422942227,105.0,99.78336164473765,100.0
3,2021/06/29-23:11:16,-2841,24.62129561862623,25.668006433620178,44.25033388370276,105.0,100.31556588262757,100.0
3,2021/06/29-23:11:23,-2841,24.634422936974946,25.712363796579496,44.797785733127476,105.0,99.97062973470014,100.0
4,2021/06/29-23:12:09,-2837,24.74127947324116,26.18108253935742,49.632773890938296,105.0,99.78181440290847,100.0
4,2021/06/29-23:12:16,-2837,24.752914553346688,26.02086438131414,50.390318623365246,105.0,100.31982694340836,100.0
4,2021/06/29-23:12:23,-2837,24.814467871610546,26.31147757563383,51.20106754028443,105.0,99.87875107162218,100.0
5,2021/06/29-23:13:10,-2834,24.92749205925485,26.6989936805266,56.13882837046274,105.0,99.76053708465359,100.0
5,2021/06/29-23:13:16,-2833,24.940472519495355,26.613348858055417,56.78884942107059,105.0,100.32042039665374,100.0
5,2021/06/29-23:13:23,-2833,24.944680423913443,26.940221445467444,57.459241759182696,105.0,99.91115839796852,100.0
6,2021/06/29-23:14:10,-2831,25.12450561148273,27.010772231595354,62.320111404898356,105.0,99.82338047315729,100.0
6,2021/06/29-23:14:16,-2831,25.140216987990847,27.23533549189915,63.12567381303384,105.0,100.30788252534933,100.0
6,2021/06/29-23:14:23,-2832,25.13584468219323,27.23533549189915,63.78219340082231,105.0,99.90213938290707,100.0
7,2021/06/29-23:15:10,-2830,25.348631030943988,27.596424124636258,67.59743549014333,105.0,99.66409041180505,100.0
7,2021/06/29-23:15:17,-2831,25.371301890086933,27.720334150610597,68.28812737146467,105.0,100.15353613027781,100.0
7,2021/06/29-23:15:23,-2831,25.424065192321553,27.857370423912585,68.9803813781124,105.0,100.17055697971715,100.0
8,2021/06/29-23:16:10,-2828,25.63714632694909,28.38549963142964,75.28661150450155,105.0,99.69423908980677,100.0
8,2021/06/29-23:16:17,-2829,25.680529922087317,28.2375429628475,76.22056843524881,105.0,100.22717478180427,100.0
8,2021/06/29-23:16:23,-2829,25.69125660256205,28.439109822146918,76.95324387088579,105.0,100.09818631828328,100.0
9,2021/06/29-23:17:10,-2828,25.96339322878953,29.113868426769614,81.11568698661617,105.0,99.69618638749967,100.0
9,2021/06/29-23:17:17,-2829,26.02303256770744,28.903905681873994,81.51041278108409,105.0,100.15543267455018,100.0
9,2021/06/29-23:17:24,-2829,26.05418364911442,29.140004923148012,81.90860927741669,105.0,100.2051999680728,100.0
10,2021/06/29-23:18:10,-2828,26.308708817298886,29.73461953267025,84.28855678999973,105.0,99.72707580204607,100.0
10,2021/06/29-23:18:17,-2829,26.324062015717704,29.606405002517704,84.66639761387215,105.0,100.15168177847502,100.0
10,2021/06/29-23:18:24,-2829,26.36813090490574,29.73461953267025,85.05742147499616,105.0,100.25096170281888,100.0
11,2021/06/29-23:19:11,-2827,26.658356969720188,30.329668618659525,88.66581999392193,105.0,99.6897065841324,100.0
11,2021/06/29-23:19:17,-2827,26.68204397811814,30.19150142994124,89.41999407258048,105.0,100.12917856608635,100.0
