### METADATA ###
## USER ##
# id=nefarious1985#2344
# printer=voron_v2_350
# measure_type=nozzle_pin
# measure_gcode="G28 Z"
# notes=
# timestamp=2021-06-18_21-04-59
## SCRIPT ##
# data_structure=3
# hot_duration=3
# cool_duration=0
## Z_AXIS ##
# step_dist=0.0025
# max_z=330.0
# homing_speed=3.0
## FRAME_EXPANSION_COMPENSATION ##
# pullup_resistor=4700.0
# sensor_pin=P0.23
# z_stepper=stepper_z
# coeff=23.4
# gantry_factor=1.0
# frame_z_length=530.0
# max_z_offset=99999999.0
# sensor_type=100k3950
# inline_resistor=0.0
# smooth_time=2.0
# min_temp=0.0
# gcode_id=frame
# max_comp_z=0.0
# max_temp=100.0
### METADATA END ###
sample,time,mcu_pos_z,frame_t,chamber_t,bed_t,bed_target,he_t,he_target
0,2021/06/18-21:05:17,-2862,23.52453354142569,24.146309438137678,25.208042683404077,105.0,28.52284851317389,100.0
0,2021/06/18-21:05:24,-2855,23.553406690386797,24.22446872649664,25.30028910288309,105.0,43.78339791303429,100.0
0,2021/06/18-21:05:30,-2851,23.523918889827844,23.926242390309312,25.612665550072794,105.0,62.325516010152626,100.0
1,2021/06/18-21:06:16,-2839,23.5924058619866,24.255668779163216,29.355056605638545,105.0,100.64730095249723,100.0
1,2021/06/18-21:06:23,-2838,23.592716225719997,24.271255212136396,30.01816569172725,105.0,100.73835138771592,100.0
1,2021/06/18-21:06:30,-2838,23.620446759635424,24.271255212136396,30.960335369749608,105.0,100.20526453290812,100.0
2,2021/06/18-21:07:16,-2836,23.674726798991824,24.734695278527795,36.57885178418972,105.0,99.67816328483092,100.0
2,2021/06/18-21:07:23,-2835,23.66687816403569,24.34905192661364,37.3962090725233,105.0,100.22720890769827,100.0
2,2021/06/18-21:07:30,-2835,23.715340354108047,24.565692326468707,38.10269642640424,105.0,100.08159835982346,100.0
3,2021/06/18-21:08:16,-2834,23.754977300976964,24.503972891940066,42.638851313763276,105.0,99.68205815784984,100.0
3,2021/06/18-21:08:23,-2834,23.792105234667964,24.780603772112784,43.45123872974058,105.0,100.05949001597111,100.0
3,2021/06/18-21:08:30,-2833,23.803955049440564,24.948270386289664,44.197183737033065,105.0,100.16589326855787,100.0
4,2021/06/18-21:09:16,-2833,23.89353403147619,24.993817740992426,48.868764181791846,105.0,99.73118905813759,100.0
4,2021/06/18-21:09:23,-2833,23.91046098239862,24.917862815775266,49.50849105560929,105.0,99.99154557694784,100.0
4,2021/06/18-21:09:30,-2832,23.93892848611643,25.175244747309307,50.145063029073825,105.0,100.25235382473245,100.0
5,2021/06/18-21:10:16,-2831,24.054795721598627,25.37043050481384,56.43147548445011,105.0,99.65894424055736,100.0
5,2021/06/18-21:10:23,-2831,24.06430700750518,25.37043050481384,57.5202022929363,105.0,100.19103450219279,100.0
5,2021/06/18-21:10:30,-2831,24.082186395881653,25.7566491607663,58.63712179584304,105.0,100.10983746785503,100.0
6,2021/06/18-21:11:17,-2832,24.218864944715918,25.741895355873226,63.5913248771957,105.0,99.7269529862829,100.0
6,2021/06/18-21:11:23,-2832,24.268786022002622,25.874393519258206,64.23722156440571,105.0,100.15192371559024,100.0
6,2021/06/18-21:11:30,-2832,24.292744878252,25.947726973785905,64.8761476862256,105.0,100.08226448899637,100.0
7,2021/06/18-21:12:17,-2832,24.465482233342684,26.325927767288817,69.15547749683984,105.0,99.71930487948345,100.0
7,2021/06/18-21:12:24,-2833,24.49353069995751,26.484380632848058,69.82615473566986,105.0,100.0564496601105,100.0
7,2021/06/18-21:12:31,-2833,24.479608745919222,26.354805374823854,70.37565676774521,105.0,100.09188360443589,100.0
8,2021/06/18-21:13:17,-2834,24.69366716540868,26.940221445467444,74.28153518566502,105.0,99.68597619237724,100.0
8,2021/06/18-21:13:24,-2834,24.708188773662986,26.841147202095783,74.82274246700707,105.0,100.17079538311363,100.0
8,2021/06/18-21:13:31,-2833,24.757505156379487,26.897804498912024,75.4083845506318,105.0,100.08935481322413,100.0
9,2021/06/18-21:14:17,-2835,24.96488895879893,27.277239567607865,79.1509837155199,105.0,99.88305827204996,100.0
9,2021/06/18-21:14:24,-2835,25.02747137195446,27.416465360430948,79.6819055645643,105.0,99.82175047285564,100.0
9,2021/06/18-21:14:31,-2835,25.057889974536913,27.430349694357915,80.20408336555381,105.0,100.27530226226486,100.0
10,2021/06/18-21:15:17,-2836,25.322348966313008,27.788936248318635,83.67800885716005,105.0,99.9600728973137,100.0
10,2021/06/18-21:15:24,-2836,25.37710197260263,27.857370423912585,84.1591499450411,105.0,99.75486845829332,100.0
10,2021/06/18-21:15:31,-2836,25.41877840249413,27.871037192728238,84.72556348595437,105.0,100.31950507582899,100.0
11,2021/06/18-21:16:17,-2838,25.66536872719579,28.439109822146918,87.78715566786583,105.0,100.0193699217966,100.0
11,2021/06/18-21:16:24,-2837,25.6891940783085,28.91707398602739,88.34431139637809,105.0,99.69150044725717,100.0
11,2021/06/18-21:16:31,-2838,25.737127893516135,28.492618210101227,88.81821633279057,105.0,100.32854039515433,100.0
12,2021/06/18-21:17:18,-2839,26.05137138083698,29.048421783304093,91.80768364092764,105.0,100.1209998635665,100.0
12,2021/06/18-21:17:24,-2840,26.081383817831593,29.10079115711062,92.27919664511285,105.0,99.7026592151649,100.0
12,2021/06/18-21:17:31,-2840,26.121057757102893,29.309309114734106,92.70476754180433,105.0,100.23674820785594,100.0
13,2021/06/18-21:18:18,-2843,26.38687654151711,29.67058409676406,95.59146835233034,105.0,100.0681256378479,100.0
13,2021/06/18-21:18:25,-2843,26.45714693353763,29.887722960659744,95.95003621465985,105.0,99.696653496443,100.0
13,2021/06/18-21:18:32,-2843,26.498731358193606,29.93857630423645,96.3096931570756,105.0,100.28043848032168,100.0
14,2021/06/18-21:19:18,-2847,26.79870395770423,30.5543429962367,99.12093644552583,105.0,100.02931025203969,100.0
14,2021/06/18-21:19:25,-2846,26.867187326490615,30.541906807103544,99.4751522174881,105.0,99.71831701830837,100.0
14,2021/06/18-21:19:32,-2847,26.91989878691711,30.579199347208828,99.84705153423495,105.0,100.27881124585028,100.0
15,2021/06/18-21:20:18,-2849,27.2293707636502,31.120717181056932,102.06070974425464,105.0,100.137769895356,100.0
15,2021/06/18-21:20:25,-2849,27.282259090864695,31.266670827700125,102.37457254022343,105.0,99.69868381660235,100.0
15,2021/06/18-21:20:32,-2850,27.32898100468312,31.387743817705427,102.61524373081959,105.0,100.16596927773925,100.0
16,2021/06/18-21:21:18,-2853,27.684775842793414,31.771845870986795,103.85205700758527,105.0,100.28103748621196,100.0
16,2021/06/18-21:21:25,-2853,27.73494473229213,31.985715336496412,103.97045949897299,105.0,99.74467131642234,100.0
16,2021/06/18-21:21:32,-2853,27.764410716057736,31.914598077634764,104.10587081151223,105.0,99.99778736127934,100.0
17,2021/06/18-21:22:18,-2858,28.151027282499772,32.629766576037014,104.85895023085004,105.0,100.30691942598122,100.0
17,2021/06/18-21:22:25,-2860,28.18260117984634,32.676065195279136,104.9405032550744,105.0,99.77963085599757,100.0
17,2021/06/18-21:22:32,-2860,28.224625546091634,32.733837275431654,104.9991236058756,105.0,99.86609556118913,100.0
18,2021/06/18-21:23:18,-2864,28.556583893142395,33.248809633825886,105.23015344351978,105.0,100.19587149723715,100.0
18,2021/06/18-21:23:25,-2864,28.61108603251553,33.18065725000167,105.28658630279304,105.0,100.07071397213868,100.0
18,2021/06/18-21:23:32,-2865,28.664514853498993,33.26015330355432,105.24864600312446,105.0,99.73786226560523,100.0
19,2021/06/18-21:24:19,-2867,29.006175854544068,33.79967198163786,105.132691259935,105.0,100.12362641475335,100.0
19,2021/06/18-21:24:26,-2867,29.081767114245224,33.97738616826632,105.15936801590014,105.0,100.20681945708026,100.0
19,2021/06/18-21:24:33,-2868,29.131403582781843,33.988458697246074,105.16828408800735,105.0,99.6298244590847,100.0
20,2021/06/18-21:25:19,-2870,29.44524827958819,34.54786513464421,105.3577762405919,105.0,100.06358002650558,100.0
20,2021/06/18-21:25:26,-2870,29.49609809074251,34.49347413428018,105.3673378651765,105.0,100.21367941765777,100.0
20,2021/06/18-21:25:33,-2872,29.537653139962497,34.69964606340841,105.35460120739367,105.0,99.70831728766697,100.0
21,2021/06/18-21:26:19,-2875,29.91856182049302,35.065151406292614,105.33523974020797,105.0,99.90973950432483,100.0
21,2021/06/18-21:26:26,-2877,29.9754740567306,35.17182938927135,105.258795145366,105.0,100.28072649345998,100.0
21,2021/06/18-21:26:33,-2877,29.986615730937814,35.18247685812099,105.09590283673919,105.0,99.78443144314836,100.0
22,2021/06/18-21:27:19,-2879,30.2655563490903,35.647361851495305,104.72155030561812,105.0,99.84534581597799,100.0
22,2021/06/18-21:27:26,-2879,30.32153131830128,35.74159671932989,104.74093739186559,105.0,100.31016340539692,100.0
22,2021/06/18-21:27:33,-2880,30.356705674544656,35.77294478730602,104.78976893812089,105.0,99.7215424838744,100.0
23,2021/06/18-21:28:19,-2881,30.668274802931883,36.14667520319688,105.0339897318685,105.0,99.82070500023056,100.0
23,2021/06/18-21:28:26,-2881,30.70762719074866,36.29081250336918,105.15741876101373,105.0,100.28131342412813,100.0
23,2021/06/18-21:28:33,-2881,30.744451506977,36.54655940646978,105.28825156919086,105.0,99.82598404604832,100.0
24,2021/06/18-21:29:19,-2885,31.01397958353098,36.729414023699064,105.15528969447135,105.0,99.74911135700714,100.0
24,2021/06/18-21:29:26,-2886,31.0678662242205,36.81034255020012,105.15858706236172,105.0,100.31771622480775,100.0
24,2021/06/18-21:29:33,-2887,31.09871811927722,36.90113920283676,105.11766377504685,105.0,99.8463563074233,100.0
25,2021/06/18-21:30:20,-2890,31.364338562971117,37.24181092784977,104.77791324111492,105.0,99.82962285174548,100.0
25,2021/06/18-21:30:27,-2891,31.43557693286744,37.271694813077886,104.71482988095626,105.0,100.3006589662384,100.0
25,2021/06/18-21:30:34,-2890,31.432416850957146,37.311496220374295,104.7067707867235,105.0,99.78619467546811,100.0
26,2021/06/18-21:31:20,-2892,31.697991296620973,37.60842726274126,105.27184209682885,105.0,99.69215090353256,100.0
26,2021/06/18-21:31:27,-2893,31.777439408891208,37.775466928391666,105.28401793721751,105.0,100.27982151423207,100.0
26,2021/06/18-21:31:34,-2893,31.788202295185197,37.628124468958106,105.27396468381623,105.0,100.08207612282308,100.0
27,2021/06/18-21:32:20,-2895,32.01798087178735,38.038983193467345,105.25147821389287,105.0,99.63494821804316,100.0
27,2021/06/18-21:32:27,-2895,32.047870578853455,38.15540935800061,105.25924587301996,105.0,100.18804610609385,100.0
27,2021/06/18-21:32:34,-2895,32.085069626959495,38.087545446111676,105.30980658966484,105.0,100.06251988047048,100.0
28,2021/06/18-21:33:20,-2896,32.301087046432514,38.59784636075585,106.0651565713079,105.0,99.62433379970035,100.0
28,2021/06/18-21:33:27,-2896,32.36403445130278,38.664645088741565,106.11528594926013,105.0,100.07952928265061,100.0
28,2021/06/18-21:33:34,-2896,32.37494715774305,38.63603395180786,106.12401683857607,105.0,100.21273817545816,100.0
29,2021/06/18-21:34:20,-2900,32.626063967431655,38.89262902879369,105.46949677906224,105.0,99.6895007644168,100.0
29,2021/06/18-21:34:27,-2900,32.666829203195576,38.96826911462574,105.30116846668396,105.0,99.9204226985424,100.0
29,2021/06/18-21:34:34,-2901,32.679218143615344,39.043733632050646,105.17015626101998,105.0,100.32174102590076,100.0
30,2021/06/18-21:35:20,-2901,32.913803393519416,39.24100007941814,104.39396142592702,105.0,99.94153272042152,100.0
